x,y,z
399.390319824219,-400,2974.21362304688
682.233032226563,-400,3257.05639648438
682.233032226563,-400,2691.37084960938
965.075744628906,-400,2974.21362304688
1106.4970703125,-400,2974.21362304688
1389.33984375,-400,3257.05639648438
1389.33984375,-400,2691.37084960938
1672.18249511719,-400,2974.21362304688
1813.60388183594,-400,2974.21362304688
2096.44653320313,-400,3257.05639648438
2096.44653320313,-400,2691.37084960938
2379.28930664063,-400,2974.21362304688
2520.71069335938,-400,2974.21362304688
2803.55346679688,-400,3257.05639648438
2803.55346679688,-400,2691.37084960938
3086.39599609375,-400,2974.21362304688
3227.8173828125,-400,2974.21362304688
3510.66015625,-400,3257.05639648438
3510.66015625,-400,2691.37084960938
3793.5029296875,-400,2974.21362304688
3934.92431640625,-400,2974.21362304688
4217.76708984375,-400,3257.05639648438
4217.76708984375,-400,2691.37084960938
4500.60986328125,-400,2974.21362304688
752.943725585938,-400,2620.66015625
1035.78637695313,-400,2903.5029296875
1035.78637695313,-400,2337.8173828125
1318.62915039063,-400,2620.66015625
1460.05053710938,-400,2620.66015625
1742.89318847656,-400,2903.5029296875
1742.89318847656,-400,2337.8173828125
2025.73596191406,-400,2620.66015625
2167.1572265625,-400,2620.66015625
2450,-400,2903.5029296875
2450,-400,2337.8173828125
2732.8427734375,-400,2620.66015625
2874.26416015625,-400,2620.66015625
3157.10668945313,-400,2903.5029296875
3157.10668945313,-400,2337.8173828125
3439.94946289063,-400,2620.66015625
3581.37084960938,-400,2620.66015625
3864.21362304688,-400,2903.5029296875
3864.21362304688,-400,2337.8173828125
4147.05615234375,-400,2620.66015625
399.390319824219,-400,2267.10668945313
682.233032226563,-400,2549.94946289063
682.233032226563,-400,1984.26403808594
965.075744628906,-400,2267.10668945313
1106.4970703125,-400,2267.10668945313
1389.33984375,-400,2549.94946289063
1389.33984375,-400,1984.26403808594
1672.18249511719,-400,2267.10668945313
1813.60388183594,-400,2267.10668945313
2096.44653320313,-400,2549.94946289063
2096.44653320313,-400,1984.26403808594
2379.28930664063,-400,2267.10668945313
2520.71069335938,-400,2267.10668945313
2803.55346679688,-400,2549.94946289063
2803.55346679688,-400,1984.26403808594
3086.39599609375,-400,2267.10668945313
3227.8173828125,-400,2267.10668945313
3510.66015625,-400,2549.94946289063
3510.66015625,-400,1984.26403808594
3793.5029296875,-400,2267.10668945313
3934.92431640625,-400,2267.10668945313
4217.76708984375,-400,2549.94946289063
4217.76708984375,-400,1984.26403808594
4500.60986328125,-400,2267.10668945313
752.943725585938,-400,1913.55334472656
1035.78637695313,-400,2196.39599609375
1035.78637695313,-400,1630.71069335938
1318.62915039063,-400,1913.55334472656
1460.05053710938,-400,1913.55334472656
1742.89318847656,-400,2196.39599609375
1742.89318847656,-400,1630.71069335938
2025.73596191406,-400,1913.55334472656
2167.1572265625,-400,1913.55334472656
2450,-400,2196.39599609375
2450,-400,1630.71069335938
2732.8427734375,-400,1913.55334472656
2874.26416015625,-400,1913.55334472656
3157.10668945313,-400,2196.39599609375
3157.10668945313,-400,1630.71069335938
3439.94946289063,-400,1913.55334472656
3581.37084960938,-400,1913.55334472656
3864.21362304688,-400,2196.39599609375
3864.21362304688,-400,1630.71069335938
4147.05615234375,-400,1913.55334472656
399.390319824219,-400,1560
682.233032226563,-400,1842.8427734375
682.233032226563,-400,1277.1572265625
965.075744628906,-400,1560
1106.4970703125,-400,1560
1389.33984375,-400,1842.8427734375
1389.33984375,-400,1277.1572265625
1672.18249511719,-400,1560
1813.60388183594,-400,1560
2096.44653320313,-400,1842.8427734375
2096.44653320313,-400,1277.1572265625
2379.28930664063,-400,1560
2520.71069335938,-400,1560
2803.55346679688,-400,1842.8427734375
2803.55346679688,-400,1277.1572265625
3086.39599609375,-400,1560
3227.8173828125,-400,1560
3510.66015625,-400,1842.8427734375
3510.66015625,-400,1277.1572265625
3793.5029296875,-400,1560
3934.92431640625,-400,1560
4217.76708984375,-400,1842.8427734375
4217.76708984375,-400,1277.1572265625
4500.60986328125,-400,1560
752.943725585938,-400,1206.44665527344
1035.78637695313,-400,1489.28930664063
1035.78637695313,-400,923.603881835938
1318.62915039063,-400,1206.44665527344
1460.05053710938,-400,1206.44665527344
1742.89318847656,-400,1489.28930664063
1742.89318847656,-400,923.603881835938
2025.73596191406,-400,1206.44665527344
2167.1572265625,-400,1206.44665527344
2450,-400,1489.28930664063
2450,-400,923.603881835938
2732.8427734375,-400,1206.44665527344
2874.26416015625,-400,1206.44665527344
3157.10668945313,-400,1489.28930664063
3157.10668945313,-400,923.603881835938
3439.94946289063,-400,1206.44665527344
3581.37084960938,-400,1206.44665527344
3864.21362304688,-400,1489.28930664063
3864.21362304688,-400,923.603881835938
4147.05615234375,-400,1206.44665527344
399.390319824219,-400,852.893188476563
682.233032226563,-400,1135.73596191406
682.233032226563,-400,570.050476074219
965.075744628906,-400,852.893188476563
1106.4970703125,-400,852.893188476563
1389.33984375,-400,1135.73596191406
1389.33984375,-400,570.050476074219
1672.18249511719,-400,852.893188476563
1813.60388183594,-400,852.893188476563
2096.44653320313,-400,1135.73596191406
2096.44653320313,-400,570.050476074219
2379.28930664063,-400,852.893188476563
2520.71069335938,-400,852.893188476563
2803.55346679688,-400,1135.73596191406
2803.55346679688,-400,570.050476074219
3086.39599609375,-400,852.893188476563
3227.8173828125,-400,852.893188476563
3510.66015625,-400,1135.73596191406
3510.66015625,-400,570.050476074219
3793.5029296875,-400,852.893188476563
3934.92431640625,-400,852.893188476563
4217.76708984375,-400,1135.73596191406
4217.76708984375,-400,570.050476074219
4500.60986328125,-400,852.893188476563
752.943725585938,-400,499.339813232422
1035.78637695313,-400,782.182556152344
1035.78637695313,-400,216.497116088867
1318.62915039063,-400,499.339813232422
1460.05053710938,-400,499.339813232422
1742.89318847656,-400,782.182556152344
1742.89318847656,-400,216.497116088867
2025.73596191406,-400,499.339813232422
2167.1572265625,-400,499.339813232422
2450,-400,782.182556152344
2450,-400,216.497116088867
2732.8427734375,-400,499.339813232422
2874.26416015625,-400,499.339813232422
3157.10668945313,-400,782.182556152344
3157.10668945313,-400,216.497116088867
3439.94946289063,-400,499.339813232422
3581.37084960938,-400,499.339813232422
3864.21362304688,-400,782.182556152344
3864.21362304688,-400,216.497116088867
4147.05615234375,-400,499.339813232422
399.390319824219,-400,145.786437988281
682.233032226563,-400,428.629150390625
682.233032226563,-400,-137.056274414063
965.075744628906,-400,145.786437988281
1106.4970703125,-400,145.786437988281
1389.33984375,-400,428.629150390625
1389.33984375,-400,-137.056274414063
1672.18249511719,-400,145.786437988281
1813.60388183594,-400,145.786437988281
2096.44653320313,-400,428.629150390625
2096.44653320313,-400,-137.056274414063
2379.28930664063,-400,145.786437988281
2520.71069335938,-400,145.786437988281
2803.55346679688,-400,428.629150390625
2803.55346679688,-400,-137.056274414063
3086.39599609375,-400,145.786437988281
3227.8173828125,-400,145.786437988281
3510.66015625,-400,428.629150390625
3510.66015625,-400,-137.056274414063
3793.5029296875,-400,145.786437988281
3934.92431640625,-400,145.786437988281
4217.76708984375,-400,428.629150390625
4217.76708984375,-400,-137.056274414063
4500.60986328125,-400,145.786437988281
